date,NFLX,IBM,GE,GOOG,AAPL,KO,AMZN,HD,NKE,^DJI,WMT
2018-07-20,36.105,98.7421,60.089,58.6896,45.0674,35.4446,90.685,165.0013,68.0687,25058.1191,25.9784
2018-07-23,36.266,98.3036,59.4936,59.7095,45.1074,35.1862,90.1,164.822,67.7414,25044.2891,25.8515
2018-07-24,35.732,98.7624,60.089,61.8185,45.4346,35.4289,91.462,164.6264,66.8039,25241.9395,25.9489
2018-07-25,36.287,98.9243,60.0432,62.5921,45.8631,36.0786,93.1805,163.8195,68.2456,25414.0996,25.9312
2018-07-26,36.309,98.985,60.2264,62.8215,45.7195,36.196,90.4,162.5154,69.1212,25527.0703,26.0286
2018-07-27,35.521,97.9325,59.8142,61.344,44.9591,36.1725,90.8635,160.6735,68.0068,25451.0605,25.9991
2018-07-30,33.496,98.1619,60.2722,60.4148,44.7072,36.1882,88.961,160.7876,67.1842,25306.8301,26.2203
2018-07-31,33.745,97.7841,62.4248,60.2919,44.7967,36.5013,88.872,160.9832,68.0245,25415.1895,26.3236
2018-08-01,33.838,96.8192,60.6386,60.4281,47.4356,36.3134,89.8585,159.9889,68.5817,25333.8203,26.0315
2018-08-02,34.45,96.4549,60.318,60.7323,48.8222,36.1491,91.7165,159.4673,69.5634,25326.1602,26.1849
2018-08-03,34.309,99.653,60.1806,60.6114,48.9635,36.4935,91.1645,159.451,69.6431,25462.5801,26.4327
2018-08-06,35.092,98.5262,59.9974,60.6639,49.2177,36.517,92.3875,159.4917,70.3241,25502.1797,26.4534
2018-08-07,35.183,99.1874,60.2722,61.5282,48.7563,36.3996,93.124,160.6001,71.2262,25628.9102,26.4829
2018-08-08,34.761,99.1065,59.7684,61.6961,48.7893,36.1256,94.326,161.3907,71.1997,25583.75,26.5655
2018-08-09,34.936,98.7314,59.2646,61.869,49.173,36.2821,94.926,161.4396,71.8719,25509.2305,26.4112
2018-08-10,34.587,98.5336,58.486,61.2999,49.0265,36.0708,94.315,159.9889,71.4031,25313.1406,26.7583
2018-08-13,34.131,97.3265,57.0204,61.1711,49.3431,35.8751,94.81,158.2284,70.8901,25187.6992,26.5981
2018-08-14,33.749,97.7698,56.5624,61.5223,49.551,35.9221,95.9825,157.3808,70.8813,25299.9199,26.9571
2018-08-15,32.64,98.1449,55.967,60.1493,49.6667,36.0708,94.131,158.1062,70.3771,25162.4102,26.7702
